X_year,Y_extent,Comments
1979,15.857,These data represent the Arctic sea ice extent values
1982,15.836,"(in millions of square km) as measured on February 1, each year."
1984,15.026,"For example, on February 1, 1979, the North Pole was covered by "
1985,15.252,"15,857,000 square kilometers of sea ice."
1987,15.81,
1988,15.56,Source
1989,15.386,"Fetterer, F., K. Knowles, W. N. Meier, M. Savoie, and A. K. Windnagel. "
1990,15.351,"2017, updated daily. Sea Ice Index, Version 3. North Sea Ice Extent Daily. "
1991,14.852,"Boulder, Colorado USA. NSIDC: National Snow and Ice Data Center. "
1992,15.419,"doi: https://doi.org/10.7265/N5K072F8. May 24, 2021."
1993,15.449,
1994,15.409,
1995,15.054,
1996,14.706,
1997,15.013,
1998,15.512,
1999,14.947,
2000,14.991,
2001,14.908,
2002,15.187,
2003,14.946,
2004,14.36,
2005,14.031,
2006,14.081,
2007,14.222,
2008,14.563,
2009,14.502,
2010,14.209,
2011,14.117,
2012,14.11,
2013,14.378,
2014,14.241,
2015,14.246,
2016,13.926,
2017,13.861,
2018,13.764,
2019,14.086,
2020,14.318,
2021,14.183,
