Biosex,Importance
females,15
females,45
females,35
females,20
females,20
females,10
females,9.09
females,15
females,20
females,15
females,12
females,20
females,10
females,10
females,20
females,20
females,17
females,20
females,10
females,35
females,50
females,30
females,30
females,20
females,20
females,10
females,50
females,20
females,17
females,10
females,5
females,15
females,30
females,5
females,10
females,17
females,10
females,15
females,10
females,10
females,10
females,10
females,20
females,10
females,30
females,20
females,15
females,15
females,15
females,25
females,15
females,15
females,10
females,14
females,15
females,15
females,20
females,20
females,15
females,20
females,50
females,10
females,35
females,16.67
females,12.77
females,6.67
females,18.18
females,14.29
females,8.33
females,16
females,11.36
females,18.18
females,18
females,15.09
females,8.51
females,12
females,14.55
females,14
females,9.76
females,15.38
females,15.09
females,14
females,14.29
females,9.52
females,12.24
females,13.04
females,15.09
females,15.22
females,19.15
females,15.38
females,15.38
females,16.07
females,20
females,16
females,15.38
females,17.65
females,14
females,15.38
females,17.5
females,13.21
females,15.38
females,15.38
females,16
females,19.61
females,15.38
females,14.58
females,17.31
females,11.54
females,13.04
females,20
females,16.36
females,14.29
females,15.52
females,20
females,15
females,15
females,10
females,15
females,10
females,10
females,90
females,20
females,0
females,25
females,25
females,16.67
females,15
females,22
females,7
females,15
females,19
females,15
females,10
females,20
females,15
females,15
females,25
females,20
females,30
females,20
females,16
females,10
females,25
females,20
females,10
females,15
females,25
females,10
females,10
females,15
females,20
females,50
females,20
females,5
females,10
females,16
females,10
females,2
females,10
females,40
females,10
females,15
females,15
females,22
females,15
females,15
females,15
females,20
females,40
females,5
females,15
females,10
females,30
females,15
females,25
females,12
females,15
females,20
females,15
females,20
females,50
females,15
females,15
females,20
females,9
females,20
females,15
females,20
females,20
females,25
females,25
females,20
females,25
females,15
females,20
females,22
females,20
females,10
females,35
females,15
females,8
females,18
females,20
females,15
females,15
females,20
females,15
females,5
females,10
females,20
females,10
females,15
females,15
females,20
females,30
females,25
females,28
females,15
females,14
females,20
females,10
females,10
females,25
females,25
females,50
females,30
females,10
females,20
females,15
females,20
females,10
females,15
females,10
females,15
females,15
females,10
females,20
females,16
females,20
females,15
females,16
females,20
females,10
females,18
females,19
females,10
females,30
females,10
females,25
females,20
females,20
females,20
females,20
females,20
females,58
females,15
females,20
females,40
females,25
females,10
females,10
females,10
females,15
females,10
females,10
females,50
females,40
females,10
females,20
males,35
males,60
males,19
males,30
males,30
males,50
males,35
males,33.33
males,50
males,100
males,25
males,30
males,20
males,25
males,25
males,25
males,20
males,20
males,30
males,20
males,35
males,25
males,15
males,40
males,40
males,20
males,20
males,20
males,21
males,50
males,25
males,60
males,21
males,30
males,30
males,20
males,20
males,18
males,10
males,50
males,40
males,30
males,20
males,40
males,30
males,40
males,20
males,30
males,10
males,19
males,10
males,15
males,20
males,20
males,40
males,50
males,40
males,20
males,25
males,25
males,40
males,40
males,80
males,25
males,17.39
males,20
males,18.75
males,18.6
males,20.83
males,19.05
males,15.91
males,16
males,16.67
males,15.22
males,12
males,20.51
males,16.67
males,27.78
males,18.6
males,11.11
males,17.78
males,16.28
males,19.57
males,17.78
males,18.37
males,16.67
males,16.98
males,19.44
males,16.98
males,15.56
males,16.98
males,15.56
males,20.45
males,19.57
males,20.93
males,17.02
males,14.89
males,7.5
males,21.28
males,20.51
males,16.28
males,16.67
males,15.56
males,9.52
males,17.39
males,17.24
males,14.71
males,25.64
males,20
males,13.51
males,21.43
males,23.81
males,18.6
males,17.78
males,14
males,20
males,20
males,18
males,35
males,20
males,25
males,22
males,20
males,19
males,30
males,30
males,25
males,24
males,60
males,25
males,27
males,25
males,20
males,25
males,50
males,25
males,20
males,10
males,35
males,20
males,20
males,30
males,20
males,20
males,23
males,17
males,20
males,24
males,50
males,25
males,19
males,20
males,6.67
males,25
males,50
males,40
males,20
males,20
males,30
males,60
males,50
males,40
males,20
males,20
males,17
males,10
males,30
males,20.51
males,25
males,25
males,31.58
males,14
males,30
males,20
males,17
males,50
males,40
males,30
males,75
males,50
males,30
males,30
males,25
males,25
males,20
males,45
males,25
males,70
males,35
males,25
males,20
males,25
males,30
males,20
males,30
males,20
males,20
males,20
males,35
males,75
males,10
males,95
males,10
males,30
males,30
males,17
males,16
males,25
males,20
males,60
males,55
males,35
males,35
males,40
males,30
males,50
males,40
males,30
males,15
males,25
males,55
males,50
males,20
males,35
males,30
males,20
males,40
males,30
males,15
males,15
males,20
males,25
males,20
males,40
males,16
males,20
males,20
males,25
males,15
males,20
males,30
males,30
males,30
males,30
males,25
males,20
males,40
males,30
males,30
males,20
males,15
males,20
males,18
males,15
males,25
males,25
males,30
males,23
males,30
males,20
males,50
males,30
males,20
males,40
males,25
males,20
males,15
males,20
males,35
males,25
males,40
males,20
males,30
males,40
males,70
